title,authors,venue,year,citations,paper,preprint,code
Quantitative Activity Profile and Context Dependence of All Human 5' Splice Sites,"Mandy S Wong, Justin B Kinney, Adrian R Krainer","Molecular cell 71 (6), 1012-1026.e3, 2018",2018,,https://www.sciencedirect.com/science/article/pii/S1097276518306026?via%3Dihub,,
Selection for protein stability enriches for epistatic interactions,"Anna Posfai, Juannan Zhou, Joshua B. Plotkin, Justin B. Kinney, David M. McCandlish","Genes 9 (9), 423, 2018",2018,,https://www.mdpi.com/2073-4425/9/9/423,,
Inducible CRISPR-based Genome Editing for the Characterization of Cancer Genes,"Nalani Sachan, Madison Miller, Nitin H Shirole, Serif Senturk, Vincenzo Corbo, Justin B Kinney, Raffaella Sordella","Genome Editing and Engineering: From TALENs, ZFNs and CRISPRs to Molecular ..., 2018",2018,,,,
Systematic approach for dissecting the molecular mechanisms of transcriptional regulation in bacteria,"Nathan M Belliveau, Stephanie L Barnes, William T Ireland, Daniel L Jones, Michael J Sweredoski, Annie Moradian, Sonja Hess, Justin B Kinney, Rob Phillips","Proceedings of the National Academy of Sciences 115 (21), E4796-E4805, 2018",2018,,https://www.pnas.org/doi/10.1073/pnas.1722055115,,
Precision measurements of regulatory energetics in living cells,"Talitha Forcier, Andalus Ayaz, Manraj Gill, Justin B Kinney","bioRxiv, 2018",2018,,,https://www.biorxiv.org/content/10.1101/380972v2,
Rapid generation of drug-resistance alleles at endogenous loci using CRISPR-Cas9 indel mutagenesis,"Jonathan J. Ipsaro, Chen Shen, Arai Eri, Yali Xu, Justin B. Kinney, Leemor Joshua-Tor, Christopher R. Vakoc, Junwei Shi","PLoS One 12 (2), e0172177, 2017",2017,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0172177,,
Rapid and tunable method to temporally control gene editing based on conditional Cas9 stabilization,"Serif Senturk, Nitin H. Shirole, Dawid G. Nowak, Vincenzo Corbo, Debjani Pal, Alexander Vaughan, David A. Tuveson, Lloyd C. Trotman, Justin B. Kinney, Raffaella Sordella","Nature Communications 8, 14370, 2017",2017,,https://www.nature.com/articles/ncomms14370,,
Measuring the sequence-affinity landscape of antibodies with massively parallel titration curves,"Rhys M Adams, Thierry Mora, Aleksandra M Walczak, Justin B Kinney","Elife 5, e23156, 2016",2016,,https://elifesciences.org/articles/23156,,
MPAthic: quantitative modeling of sequence-function relationships for massively parallel assays.,"William T Ireland, Justin B Kinney","Preprint at http://biorxiv. org/content/early/2016/05/21/054676, 2016",2016,,https://www.biorxiv.org/content/10.1101/054676v2.full,,
Modeling multi-particle complexes in stochastic chemical systems,"Muir J Morrison, Justin B Kinney","arXiv preprint arXiv:1603.07369, 2016",2016,,https://arxiv.org/abs/1603.07369,,
"Concerted activities of Mcm4, Sld3, and Dbf4 in control of origin activation and DNA replication fork progression","Yi-Jun Sheu, Justin B Kinney, Bruce Stillman","Genome research 26 (3), 315-330, 2016",2016,,https://genome.cshlp.org/content/26/3/315,,
Learning quantitative sequence-function relationships from massively parallel experiments,"GS Atwal, JB Kinney","Journal of Statistical Physics, 1-41, 2015",2015,,https://link.springer.com/article/10.1007/s10955-015-1398-3,,
Unification of field theory and maximum entropy methods for learning probability densities,Justin B. Kinney,"Physical Review E 92, 032107, 2015",2015,,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.92.032107,,
Discovery of cancer drug targets by CRISPR-Cas9 screening of protein domains,"Junwei Shi, Eric Wang, Joseph P Milazzo, Zihua Wang, Justin B Kinney, Christopher R Vakoc","Nature Biotechnology 33, 661-667, 2015",2015,,https://www.nature.com/articles/nbt.3235,,
The transcriptional cofactor TRIM33 prevents apoptosis in B lymphoblastic leukemia by deactivating a single enhancer,"Eric Wang, Shinpei Kawaoka, Jae-Seok Roe, Junwei Shi, Anja F Hohmann, Yali Xu, Anand S Bhagwat, Yutaka Suzuki, Justin B Kinney, Christopher R Vakoc","elife 4, e06377, 2015",2015,,https://elifesciences.org/articles/06377,,
Estimation of probability densities using scale-free field theories,Justin B. Kinney,"Physical Review E 90, 011301(R), 2014",2014,,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.90.011301,,
Domain within the helicase subunit Mcm4 integrates multiple kinase signals to control DNA replication initiation and fork progression,"Yi-Jun Sheu, Justin B Kinney, Armelle Lengronne, Philippe Pasero, Bruce Stillman","Proceedings of the National Academy of Sciences USA 111 (18), E1899-E1908, 2014",2014,,https://www.pnas.org/doi/10.1073/pnas.1404063111,,
Comparison of the theoretical and real-world evolutionary potential of a genetic circuit,"Manuel Razo-Mejia, JQ Boedicker, Daniel Jones, Alexander DeLuna, Justin Block Kinney, Rob Phillips","Physical Biology 11 (2), 026005, 2014",2014,,https://iopscience.iop.org/article/10.1088/1478-3975/11/2/026005,,
Parametric inference in the large data limit using maximally informative models,"Justin B Kinney, Gurinder S Atwal","Neural Computation 26 (4), 637-665, 2014",2014,,https://direct.mit.edu/neco/article/26/4/637/7973/Parametric-Inference-in-the-Large-Data-Limit-Using,,
"Equitability, mutual information, and the maximal information coefficient","Justin B Kinney, Gurinder S Atwal","Proceedings of the National Academy of Sciences USA 111 (9), 3354-3359, 2014",2014,,https://www.pnas.org/doi/10.1073/pnas.1309933111,,
Mutual information: a universal measure of statistical dependence.,Justin B. Kinney,"Biomedical Computation Review 10 (2), 33, 2014",2014,,,,
Evaluation of methods for modeling transcription factor sequence specificity,"Matthew T Weirauch, Atina Cote, Raquel Norel, Matti Annala, Yue Zhao, Todd R Riley, Julio Saez-Rodriguez, Thomas Cokelaer, Anastasia Vedenko, Shaheynoor Talukder, Harmen J Bussemaker, Quaid D Morris, Martha L Bulyk, Gustavo Stolovitzky, Timothy R Hughes","Nature biotechnology 31 (2), 126-134, 2013",2013,,https://www.nature.com/articles/nbt.2486,,
Systematic dissection and optimization of inducible enhancers in human cells using a massively parallel reporter assay,"Alexandre Melnikov, Anand Murugan, Xiaolan Zhang, Tiberiu Tesileanu, Li Wang, Peter Rogov, Soheil Feizi, Andreas Gnirke, Curtis G Callan Jr, Justin B Kinney, Manolis Kellis, Eric S Lander, Tarjei S Mikkelsen","Nature Biotechnology 30 (3), 271-277, 2012",2012,,https://www.nature.com/articles/nbt.2137,,
Using deep sequencing to characterize the biophysical mechanism of a transcriptional regulatory sequence,"Justin B Kinney, Anand Murugan, Curtis G Callan, Edward C Cox","Proceedings of the National Academy of Sciences USA 107 (20), 9158-9163, 2010",2010,,https://www.pnas.org/doi/10.1073/pnas.1004290107,,
Energy-dependent fitness: a quantitative model for the evolution of yeast transcription factor binding sites,"Ville Mustonen, Justin Kinney, Curtis G Callan, Michael Lässig","Proceedings of the National Academy of Sciences USA 105 (34), 12376-12381, 2008",2008,,https://www.pnas.org/doi/10.1073/pnas.0805909105,,
Precise physical models of protein-DNA interaction from high-throughput data,"Justin B Kinney, Gašper Tkačik, Curtis G Callan","Proceedings of the National Academy of Sciences USA 104 (2), 501-506, 2007",2007,,https://www.pnas.org/doi/full/10.1073/pnas.0609908104,,
